"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"8196032","01001327121000751000000000U5","LADRILLERA MARTINEZ",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","TABIQUES","CALLE","CUMBRES","CALLE","LADRILLERAS","CALLE","ARCILLA","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","008",,,,"Fijo","21.79712955","-102.26840671","2019-11"
"9972911","01005327121000342000000000U4","LADRILLERA MATERIALES EL VIL",,"327121","Fabricación de ladrillos no refractarios","6 a 10 personas","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","0","SN",,,,,"LOCALIDAD","PASO BLANCO",,,,"20905","01","AGUASCALIENTES","005","Jesús María","0066","Paso Blanco","0035","800","4492751902",,,"Fijo","21.96955022","-102.32144839","2024-11"
"8251021","01001327121000981000000000U8","LADRILLERA MEDINA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","LOPEZ MATEOS","CALLE","LADRILLERAS","CALLE","CUMBRES","CALLE","ARCILLA","10",,,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","014",,,,"Fijo","21.79919913","-102.26832338","2019-11"
"9035727","01001327121000831000000000U5","LADRILLERA MEDINA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","TABIQUES","CALLE","CALLE DE LA QUEMA","CALLE","LADRILLERAS","CALLE","ARCILLA","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","009",,,,"Fijo","21.79706256","-102.26517018","2019-11"
"11091736","01005327121000422000000000U4","LADRILLERA MIGUEL",,"327121","Fabricación de ladrillos no refractarios","6 a 10 personas","CALLE","AGUSTIN MELGAR","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","0","SN",,,,,"LOCALIDAD","PASO BLANCO",,,,"20905","01","AGUASCALIENTES","005","Jesús María","0066","Paso Blanco","0035","800",,,,"Fijo","21.97620682","-102.31996567","2024-11"
"8196031","01001327121000741000000000U6","LADRILLERA MONTOYA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","ADOBES","CALLE","LADRILLERAS","CALLE","CUMBRES","CALLE","TABIQUES","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","001",,,,"Fijo","21.79606842","-102.26793808","2019-11"
"7621832","01001327121000201000000000U1","LADRILLERA MORALES",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CUÑAS","CALLE","LADRILLERAS","CALLE","CUMBRES","CALLE","ADOBES","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","004",,,,"Fijo","21.79500629","-102.26804286","2019-11"
"8434072","01001327121000721000000000U8","LADRILLERA NAVARRETE",,"327121","Fabricación de ladrillos no refractarios","6 a 10 personas","CALLE","ADOBES","CALLE","BARRANCO","CALLE","CUMBRES","CALLE","CUÑAS","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","005",,,,"Fijo","21.79610086","-102.27014432","2019-11"
"8250261","01001327121000931000000000U3","LADRILLERA PADILLA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","EZEQUIEL PADILLA","CALLE","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","LOMAS DE ARELLANO",,,,"20394","01","AGUASCALIENTES","001","Aguascalientes","0988","Lomas de Arellano","1763","008",,,,"Fijo","21.77558384","-102.26740152","2019-11"
"6912517","01001327121000481000000000U9","LADRILLERA PAREDES",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CUÑAS","CALLE","BARRANCO","CALLE","CUMBRES","CALLE","ADOBES","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","005",,,,"Fijo","21.79524689","-102.27058966","2019-11"
